index,anio,Mes,Dia,time_delta
0,2019,1,1,10.83
1,2019,1,2,10.13
2,2019,1,3,10.48
3,2019,1,4,10.73
4,2019,1,5,10.18
5,2019,1,6,11.48
6,2019,1,7,10.7
7,2019,1,8,10.82
8,2019,1,9,10.63
9,2019,1,10,10.72
10,2019,1,11,10.95
11,2019,1,12,10.03
12,2019,1,13,11.78
13,2019,1,14,10.63
14,2019,1,15,10.8
15,2019,1,16,10.83
16,2019,1,17,10.98
17,2019,1,18,11.22
18,2019,1,19,10.43
19,2019,1,20,11.87
20,2019,1,21,10.65
21,2019,1,22,10.92
22,2019,1,23,10.83
23,2019,1,24,11.3
24,2019,1,25,11.23
25,2019,1,26,10.6
26,2019,1,27,11.85
27,2019,1,28,10.8
28,2019,1,29,10.95
29,2019,1,30,11.0
30,2019,1,31,11.08
31,2019,2,1,11.3
32,2019,2,2,10.33
33,2019,2,3,11.9
34,2019,2,4,9.9
35,2019,2,5,11.07
36,2019,2,6,11.15
37,2019,2,7,11.18
38,2019,2,8,11.1
39,2019,2,9,10.48
40,2019,2,10,12.025
41,2019,2,11,11.05
42,2019,2,12,10.95
43,2019,2,13,10.63
44,2019,2,14,11.25
45,2019,2,15,11.28
46,2019,2,16,10.52
47,2019,2,17,11.87
48,2019,2,18,10.83
49,2019,2,19,11.13
50,2019,2,20,10.97
51,2019,2,21,11.08
52,2019,2,22,11.32
53,2019,2,23,11.63
54,2019,2,24,11.95
55,2019,2,25,10.53
56,2019,2,26,11.03
57,2019,2,27,10.98
58,2019,2,28,11.17
59,2019,3,1,11.18
60,2019,3,2,10.75
61,2019,3,3,11.97
62,2019,3,4,10.45
63,2019,3,5,10.75
64,2019,3,6,11.32
65,2019,3,7,11.03
66,2019,3,8,11.65
67,2019,3,9,10.58
68,2019,3,10,12.28
69,2019,3,11,11.05
70,2019,3,12,11.2
71,2019,3,13,11.02
72,2019,3,14,11.2
73,2019,3,15,11.15
74,2019,3,16,10.28
75,2019,3,17,12.15
76,2019,3,18,9.97
77,2019,3,19,11.075
78,2019,3,20,11.05
79,2019,3,21,10.97
80,2019,3,22,11.18
81,2019,3,23,10.75
82,2019,3,24,11.825
83,2019,3,25,10.98
84,2019,3,26,11.37
85,2019,3,27,11.1
86,2019,3,28,11.12
87,2019,3,29,11.25
88,2019,3,30,11.63
89,2019,3,31,11.37
90,2019,4,1,10.825
91,2019,4,2,11.07
92,2019,4,3,11.1
93,2019,4,4,10.95
94,2019,4,5,11.22
95,2019,4,6,10.45
96,2019,4,7,11.77
